product_name;energylabel;expected_lifetime;scenario;years_after_repair;production_impact;end_of_life_impact;repair_impact;use_phase_impact
vacuum cleaner;A+++ / A;8;buy_new;1;4.9;2.3;0.0;0.6
vacuum cleaner;A+++ / A;8;buy_new;2;9.8;4.6;0.0;1.1
vacuum cleaner;A+++ / A;8;buy_new;3;14.6;7.0;0.0;1.7
vacuum cleaner;A+++ / A;8;buy_new;4;19.5;9.3;0.0;2.3
vacuum cleaner;A+++ / A;8;buy_new;5;24.4;11.6;0.0;2.8
vacuum cleaner;A+++ / A;8;buy_new;6;29.2;14.0;0.0;3.4
vacuum cleaner;A+++ / A;8;buy_new;7;34.1;16.3;0.0;4.0
vacuum cleaner;A+++ / A;8;buy_new;8;39.0;18.6;0.0;4.6
vacuum cleaner;A+++ / A;8;repair;1;0.0;0.0;2.8;0.6
vacuum cleaner;A+++ / A;8;repair;2;0.0;0.0;2.8;1.1
vacuum cleaner;A+++ / A;8;repair;3;0.0;0.0;2.8;1.7
vacuum cleaner;A+++ / A;8;repair;4;0.0;0.0;2.8;2.3
vacuum cleaner;A+++ / A;8;repair;5;0.0;0.0;2.8;2.8
vacuum cleaner;A+++ / A;8;repair;6;0.0;0.0;2.8;3.4
vacuum cleaner;A+++ / A;8;repair;7;0.0;0.0;2.8;4.0
vacuum cleaner;A+++ / A;8;repair;8;0.0;0.0;2.8;4.6
vacuum cleaner;A++ / B;8;buy_new;1;4.9;2.3;0.0;0.8
vacuum cleaner;A++ / B;8;buy_new;2;9.8;4.6;0.0;1.5
vacuum cleaner;A++ / B;8;buy_new;3;14.6;7.0;0.0;2.3
vacuum cleaner;A++ / B;8;buy_new;4;19.5;9.3;0.0;3.0
vacuum cleaner;A++ / B;8;buy_new;5;24.4;11.6;0.0;3.8
vacuum cleaner;A++ / B;8;buy_new;6;29.2;14.0;0.0;4.6
vacuum cleaner;A++ / B;8;buy_new;7;34.1;16.3;0.0;5.3
vacuum cleaner;A++ / B;8;buy_new;8;39.0;18.6;0.0;6.1
vacuum cleaner;A++ / B;8;repair;1;0.0;0.0;2.8;0.8
vacuum cleaner;A++ / B;8;repair;2;0.0;0.0;2.8;1.5
vacuum cleaner;A++ / B;8;repair;3;0.0;0.0;2.8;2.3
vacuum cleaner;A++ / B;8;repair;4;0.0;0.0;2.8;3.0
vacuum cleaner;A++ / B;8;repair;5;0.0;0.0;2.8;3.8
vacuum cleaner;A++ / B;8;repair;6;0.0;0.0;2.8;4.6
vacuum cleaner;A++ / B;8;repair;7;0.0;0.0;2.8;5.3
vacuum cleaner;A++ / B;8;repair;8;0.0;0.0;2.8;6.1
vacuum cleaner;A+ / C;8;buy_new;1;4.9;2.3;0.0;0.9
vacuum cleaner;A+ / C;8;buy_new;2;9.8;4.6;0.0;1.9
vacuum cleaner;A+ / C;8;buy_new;3;14.6;7.0;0.0;2.8
vacuum cleaner;A+ / C;8;buy_new;4;19.5;9.3;0.0;3.8
vacuum cleaner;A+ / C;8;buy_new;5;24.4;11.6;0.0;4.7
vacuum cleaner;A+ / C;8;buy_new;6;29.2;14.0;0.0;5.7
vacuum cleaner;A+ / C;8;buy_new;7;34.1;16.3;0.0;6.6
vacuum cleaner;A+ / C;8;buy_new;8;39.0;18.6;0.0;7.6
vacuum cleaner;A+ / C;8;repair;1;0.0;0.0;2.8;0.9
vacuum cleaner;A+ / C;8;repair;2;0.0;0.0;2.8;1.9
vacuum cleaner;A+ / C;8;repair;3;0.0;0.0;2.8;2.8
vacuum cleaner;A+ / C;8;repair;4;0.0;0.0;2.8;3.8
vacuum cleaner;A+ / C;8;repair;5;0.0;0.0;2.8;4.7
vacuum cleaner;A+ / C;8;repair;6;0.0;0.0;2.8;5.7
